id,agent_id,content,memory_type,importance,created_at
mem_agent_000_0049,agent_000,Recent queries indicate shift in research direction,observation,0.39,2025-11-01T22:08:31.695262
mem_agent_000_0050,agent_000,"Neo4j uses property graphs with nodes, edges, and properties (variant 3)",fact,0.75,2026-01-14T22:08:31.695262
mem_agent_000_0051,agent_000,APIs enable communication between different software systems (variant 3),fact,0.31,2025-12-28T22:08:31.695262
mem_agent_000_0052,agent_000,Decided to prioritize data quality over quantity,decision,0.57,2026-03-08T22:08:31.695262
mem_agent_000_0053,agent_000,System performance degrades with poorly indexed queries (variant 3),observation,0.68,2026-05-05T22:08:31.695262
mem_agent_000_0054,agent_000,Decided on REST API for system integration,decision,0.47,2025-09-11T22:08:31.695262
mem_agent_000_0055,agent_000,APIs enable communication between different software systems,fact,0.5,2025-09-21T22:08:31.695262
mem_agent_000_0056,agent_000,Python is widely used for data science and AI applications (variant 2),fact,0.52,2025-09-17T22:08:31.695262
mem_agent_000_0057,agent_000,Selected Python for implementation due to ecosystem,decision,0.46,2026-03-11T22:08:31.695262
mem_agent_000_0058,agent_000,Chose to implement incremental updates strategy,decision,0.32,2026-07-09T22:08:31.695262
mem_agent_000_0059,agent_000,System performance degrades with poorly indexed queries,observation,0.97,2025-10-24T22:08:31.695262
mem_agent_000_0060,agent_000,Version control systems track changes in source code (variant 3),fact,0.47,2025-11-17T22:08:31.695262
mem_agent_000_0061,agent_000,System performance degrades with poorly indexed queries (variant 2),observation,0.59,2025-11-01T22:08:31.695262
mem_agent_000_0062,agent_000,Recent queries indicate shift in research direction (variant 3),observation,0.51,2026-03-06T22:08:31.695262
mem_agent_000_0063,agent_000,Decided to prioritize data quality over quantity (variant 2),decision,0.64,2026-02-20T22:08:31.695262
mem_agent_000_0064,agent_000,Query latency increased significantly with graph growth (variant 3),observation,0.5,2026-04-14T22:08:31.695262
mem_agent_000_0065,agent_000,Chose Neo4j for graph-based data representation (variant 3),decision,0.65,2026-01-16T22:08:31.695262
mem_agent_000_0066,agent_000,Query latency increased significantly with graph growth,observation,0.43,2026-05-09T22:08:31.695262
mem_agent_000_0067,agent_000,Decided on REST API for system integration,decision,0.41,2025-11-18T22:08:31.695262
mem_agent_000_0068,agent_000,Python is widely used for data science and AI applications (variant 2),fact,0.54,2025-09-11T22:08:31.695262
mem_agent_000_0069,agent_000,System performance degrades with poorly indexed queries,observation,0.33,2026-05-04T22:08:31.695262
mem_agent_000_0070,agent_000,Recent queries indicate shift in research direction (variant 3),observation,0.84,2026-05-06T22:08:31.695262
mem_agent_000_0071,agent_000,Chose to implement incremental updates strategy (variant 2),decision,0.77,2026-03-31T22:08:31.695262
mem_agent_000_0072,agent_000,Chose Neo4j for graph-based data representation,decision,0.54,2025-12-23T22:08:31.695262
mem_agent_000_0073,agent_000,Discussed deployment and scaling considerations (variant 2),interaction,0.78,2025-08-18T22:08:31.695262
mem_agent_000_0074,agent_000,Machine learning requires large labeled datasets for training (variant 3),fact,0.65,2026-03-24T22:08:31.695262
mem_agent_000_0075,agent_000,Version control systems track changes in source code (variant 2),fact,0.67,2026-01-24T22:08:31.695262
mem_agent_000_0076,agent_000,Memory relationships show clustering patterns (variant 3),observation,0.67,2026-06-16T22:08:31.695262
mem_agent_000_0077,agent_000,User frequently asks about performance optimization (variant 3),observation,0.61,2026-03-04T22:08:31.695262
mem_agent_000_0078,agent_000,System performance degrades with poorly indexed queries (variant 3),observation,0.66,2026-05-06T22:08:31.695262
mem_agent_000_0079,agent_000,Query latency increased significantly with graph growth,observation,0.99,2026-03-19T22:08:31.695262
mem_agent_000_0080,agent_000,Machine learning requires large labeled datasets for training (variant 3),fact,0.35,2026-06-17T22:08:31.695262
mem_agent_000_0081,agent_000,Recent queries indicate shift in research direction (variant 3),observation,0.57,2025-09-10T22:08:31.695262
mem_agent_000_0082,agent_000,Chose to implement incremental updates strategy (variant 2),decision,0.59,2026-02-20T22:08:31.695262
mem_agent_000_0083,agent_000,Chose to implement incremental updates strategy (variant 3),decision,0.63,2026-04-03T22:08:31.695262
mem_agent_000_0084,agent_000,Recent queries indicate shift in research direction,observation,0.99,2025-07-26T22:08:31.695262
mem_agent_000_0085,agent_000,APIs enable communication between different software systems,fact,0.74,2025-10-02T22:08:31.695262
mem_agent_000_0086,agent_000,Decided on REST API for system integration (variant 2),decision,0.34,2025-11-13T22:08:31.695262
mem_agent_000_0087,agent_000,User prefers structured data formats like JSON (variant 2),preference,0.84,2026-02-02T22:08:31.695262
mem_agent_000_0088,agent_000,Selected Python for implementation due to ecosystem (variant 2),decision,0.87,2026-05-13T22:08:31.695262
mem_agent_000_0089,agent_000,Version control systems track changes in source code,fact,0.41,2025-10-08T22:08:31.695262
mem_agent_000_0090,agent_000,User frequently asks about performance optimization (variant 3),observation,0.8,2026-02-18T22:08:31.695262
mem_agent_000_0091,agent_000,Decided to prioritize data quality over quantity (variant 2),decision,0.67,2026-07-10T22:08:31.695262
mem_agent_000_0092,agent_000,Query latency increased significantly with graph growth,observation,0.62,2025-11-29T22:08:31.695262
mem_agent_000_0093,agent_000,Chose to implement incremental updates strategy,decision,0.62,2026-01-19T22:08:31.695262
mem_agent_000_0094,agent_000,Decided to prioritize data quality over quantity,decision,0.81,2026-02-18T22:08:31.695262
mem_agent_000_0095,agent_000,Selected Python for implementation due to ecosystem (variant 3),decision,0.82,2026-03-27T22:08:31.695262
mem_agent_000_0096,agent_000,"Neo4j uses property graphs with nodes, edges, and properties (variant 3)",fact,0.61,2026-07-15T22:08:31.695262
mem_agent_000_0097,agent_000,Version control systems track changes in source code (variant 2),fact,0.8,2025-12-03T22:08:31.695262
mem_agent_000_0098,agent_000,Decided to prioritize data quality over quantity (variant 2),decision,0.63,2025-09-30T22:08:31.695262
mem_agent_000_0099,agent_000,Memory relationships show clustering patterns (variant 3),observation,0.97,2025-09-17T22:08:31.695262
mem_agent_001_0000,agent_001,Default memory (variant 3),conversation,0.63,2026-10-23T22:08:31.695262
mem_agent_001_0001,agent_001,Default memory,conversation,0.82,2026-10-25T22:08:31.695262
mem_agent_001_0002,agent_001,Audience attention spans are limited (variant 2),observation,0.5,2027-01-20T22:08:31.695262
mem_agent_001_0003,agent_001,Default memory,conversation,0.98,2026-11-07T22:08:31.695262
mem_agent_001_0004,agent_001,Default memory (variant 3),conversation,0.7,2026-08-22T22:08:31.695262
mem_agent_001_0005,agent_001,User wants shorter paragraphs (variant 3),preference,0.71,2026-04-11T22:08:31.695262
mem_agent_001_0006,agent_001,Technical writing requires precision and clarity (variant 2),fact,0.85,2026-09-06T22:08:31.695262
mem_agent_001_0007,agent_001,User prefers to avoid jargon (variant 2),preference,0.97,2026-09-13T22:08:31.695262
mem_agent_001_0008,agent_001,User prefers examples over abstract concepts (variant 3),preference,0.49,2027-02-11T22:08:31.695262
mem_agent_001_0009,agent_001,Default memory (variant 2),conversation,0.75,2026-12-20T22:08:31.695262
mem_agent_001_0010,agent_001,Default memory,conversation,0.97,2027-02-15T22:08:31.695262
mem_agent_001_0011,agent_001,Complex topics need progressive disclosure,observation,0.92,2026-10-10T22:08:31.695262
mem_agent_001_0012,agent_001,Audience attention spans are limited,observation,0.57,2026-11-14T22:08:31.695262
mem_agent_001_0013,agent_001,Different formats work for different topics (variant 3),observation,0.7,2026-10-30T22:08:31.695262
mem_agent_001_0014,agent_001,Technical content needs visual reinforcement (variant 3),observation,0.41,2026-03-21T22:08:31.695262
mem_agent_001_0015,agent_001,Technical content needs visual reinforcement,observation,0.51,2026-09-04T22:08:31.695262
mem_agent_001_0016,agent_001,User wants shorter paragraphs,preference,0.65,2026-09-20T22:08:31.695262
mem_agent_001_0017,agent_001,User prefers examples over abstract concepts (variant 2),preference,0.6,2026-12-23T22:08:31.695262
mem_agent_001_0018,agent_001,User prefers to avoid jargon,preference,0.53,2026-10-29T22:08:31.695262
mem_agent_001_0019,agent_001,Default memory,conversation,0.63,2026-03-01T22:08:31.695262
mem_agent_001_0020,agent_001,Readers engage more with personal stories,observation,0.73,2026-08-01T22:08:31.695262
mem_agent_001_0021,agent_001,Default memory,conversation,0.91,2026-10-01T22:08:31.695262
mem_agent_001_0022,agent_001,User likes bullet points and summaries (variant 2),preference,0.8,2026-04-23T22:08:31.695262
mem_agent_001_0023,agent_001,User wants shorter paragraphs,preference,0.6,2026-03-17T22:08:31.695262
mem_agent_001_0024,agent_001,Default memory (variant 3),conversation,0.76,2026-06-26T22:08:31.695262
mem_agent_001_0025,agent_001,Complex topics need progressive disclosure,observation,0.75,2026-10-07T22:08:31.695262
mem_agent_001_0026,agent_001,User prefers conversational tone,preference,0.91,2027-01-26T22:08:31.695262
mem_agent_001_0027,agent_001,Chose narrative structure for content (variant 3),decision,0.62,2026-09-12T22:08:31.695262
mem_agent_001_0028,agent_001,Readers engage more with personal stories,observation,0.73,2026-06-19T22:08:31.695262
mem_agent_001_0029,agent_001,User wants shorter paragraphs (variant 2),preference,0.61,2026-04-10T22:08:31.695262
mem_agent_001_0030,agent_001,Reviewed draft and provided feedback (variant 2),interaction,0.59,2026-08-12T22:08:31.695262
mem_agent_001_0031,agent_001,User likes bullet points and summaries,preference,0.41,2026-10-14T22:08:31.695262
mem_agent_001_0032,agent_001,User prefers examples over abstract concepts (variant 2),preference,0.8,2026-09-18T22:08:31.695262
mem_agent_001_0033,agent_001,User prefers conversational tone (variant 3),preference,0.95,2026-03-17T22:08:31.695262
mem_agent_001_0034,agent_001,Technical content needs visual reinforcement (variant 2),observation,0.57,2026-06-03T22:08:31.695262
mem_agent_001_0035,agent_001,Default memory,conversation,0.69,2026-03-09T22:08:31.695262
mem_agent_001_0036,agent_001,Readers engage more with personal stories (variant 2),observation,0.98,2026-04-28T22:08:31.695262
mem_agent_001_0037,agent_001,Readers engage more with personal stories,observation,0.76,2026-03-10T22:08:31.695262
mem_agent_001_0038,agent_001,Default memory,conversation,0.99,2027-01-17T22:08:31.695262
mem_agent_001_0039,agent_001,Default memory,conversation,0.4,2026-06-13T22:08:31.695262
mem_agent_001_0040,agent_001,User likes bullet points and summaries,preference,0.79,2026-10-01T22:08:31.695262
mem_agent_001_0041,agent_001,Default memory (variant 3),conversation,0.41,2026-08-25T22:08:31.695262
mem_agent_001_0042,agent_001,Default memory,conversation,0.35,2027-02-16T22:08:31.695262
mem_agent_001_0043,agent_001,Technical content needs visual reinforcement,observation,0.86,2026-09-19T22:08:31.695262
mem_agent_001_0044,agent_001,Default memory,conversation,0.48,2026-09-16T22:08:31.695262
mem_agent_001_0045,agent_001,Default memory (variant 2),conversation,0.44,2026-11-06T22:08:31.695262
mem_agent_001_0046,agent_001,User likes bullet points and summaries,preference,0.74,2026-07-05T22:08:31.695262
mem_agent_001_0047,agent_001,User prefers conversational tone,preference,0.45,2026-10-11T22:08:31.695262
mem_agent_001_0048,agent_001,Different formats work for different topics (variant 2),observation,0.44,2026-03-12T22:08:31.695262
mem_agent_001_0049,agent_001,Collaborated on content outline,interaction,0.79,2026-06-03T22:08:31.695262
mem_agent_001_0050,agent_001,Readers engage more with personal stories (variant 2),observation,0.67,2026-11-03T22:08:31.695262
mem_agent_001_0051,agent_001,Clear structure improves comprehension (variant 2),fact,0.6,2026-12-11T22:08:31.695262
mem_agent_001_0052,agent_001,Default memory (variant 3),conversation,0.8,2026-12-10T22:08:31.695262
mem_agent_001_0053,agent_001,Collaborated on content outline (variant 3),interaction,0.73,2026-03-09T22:08:31.695262
mem_agent_001_0054,agent_001,Technical content needs visual reinforcement (variant 3),observation,0.61,2026-03-05T22:08:31.695262
mem_agent_001_0055,agent_001,Default memory (variant 3),conversation,0.53,2026-07-09T22:08:31.695262
mem_agent_001_0056,agent_001,Default memory,conversation,0.43,2026-04-25T22:08:31.695262
mem_agent_001_0057,agent_001,User prefers conversational tone,preference,0.83,2026-05-19T22:08:31.695262
mem_agent_001_0058,agent_001,User likes bullet points and summaries (variant 3),preference,0.34,2026-10-05T22:08:31.695262
mem_agent_001_0059,agent_001,Different formats work for different topics,observation,0.77,2026-04-02T22:08:31.695262
mem_agent_001_0060,agent_001,Default memory (variant 2),conversation,0.48,2026-07-04T22:08:31.695262
mem_agent_001_0061,agent_001,User wants shorter paragraphs,preference,0.79,2026-05-20T22:08:31.695262
mem_agent_001_0062,agent_001,Complex topics need progressive disclosure (variant 2),observation,0.35,2026-10-01T22:08:31.695262
mem_agent_001_0063,agent_001,Technical content needs visual reinforcement,observation,0.86,2026-02-20T22:08:31.695262
mem_agent_001_0064,agent_001,Complex topics need progressive disclosure (variant 3),observation,0.83,2026-08-25T22:08:31.695262
mem_agent_001_0065,agent_001,Technical content needs visual reinforcement (variant 2),observation,0.56,2026-07-23T22:08:31.695262
mem_agent_001_0066,agent_001,Decided on consistent formatting style (variant 3),decision,0.9,2026-10-21T22:08:31.695262
mem_agent_001_0067,agent_001,User wants shorter paragraphs,preference,0.65,2027-02-10T22:08:31.695262
mem_agent_001_0068,agent_001,User likes bullet points and summaries (variant 3),preference,0.85,2026-05-12T22:08:31.695262
mem_agent_001_0069,agent_001,Default memory,conversation,0.37,2026-08-16T22:08:31.695262
mem_agent_001_0070,agent_001,User wants shorter paragraphs (variant 2),preference,0.65,2026-06-04T22:08:31.695262
mem_agent_001_0071,agent_001,Complex topics need progressive disclosure (variant 3),observation,0.46,2026-06-10T22:08:31.695262
mem_agent_001_0072,agent_001,User wants shorter paragraphs (variant 3),preference,0.44,2026-06-01T22:08:31.695262
mem_agent_001_0073,agent_001,Default memory (variant 3),conversation,0.91,2026-03-01T22:08:31.695262
mem_agent_001_0074,agent_001,User asked for blog post on AI trends (variant 3),interaction,0.51,2026-05-24T22:08:31.695262
mem_agent_001_0075,agent_001,Technical content needs visual reinforcement (variant 2),observation,0.59,2026-05-01T22:08:31.695262
mem_agent_001_0076,agent_001,User prefers conversational tone,preference,0.68,2026-04-05T22:08:31.695262
mem_agent_001_0077,agent_001,User prefers conversational tone,preference,0.51,2026-05-08T22:08:31.695262
mem_agent_001_0078,agent_001,Default memory (variant 2),conversation,0.96,2026-10-12T22:08:31.695262
mem_agent_001_0079,agent_001,Technical content needs visual reinforcement (variant 3),observation,0.4,2026-09-26T22:08:31.695262
mem_agent_001_0080,agent_001,Default memory,conversation,0.62,2026-02-27T22:08:31.695262
mem_agent_001_0081,agent_001,User wants shorter paragraphs,preference,0.84,2026-07-06T22:08:31.695262
mem_agent_001_0082,agent_001,User prefers to avoid jargon (variant 2),preference,0.64,2026-08-22T22:08:31.695262
mem_agent_001_0083,agent_001,Default memory,conversation,0.39,2026-04-23T22:08:31.695262
mem_agent_001_0084,agent_001,User prefers examples over abstract concepts (variant 3),preference,0.76,2026-10-04T22:08:31.695262
mem_agent_001_0085,agent_001,Default memory (variant 2),conversation,0.81,2026-06-16T22:08:31.695262
mem_agent_001_0086,agent_001,Default memory,conversation,0.39,2027-01-18T22:08:31.695262
mem_agent_001_0087,agent_001,Default memory (variant 2),conversation,0.6,2026-11-19T22:08:31.695262
mem_agent_001_0088,agent_001,Chose to break long sections into smaller parts (variant 2),decision,0.73,2026-10-04T22:08:31.695262
mem_agent_001_0089,agent_001,Default memory,conversation,1.0,2026-08-26T22:08:31.695262
mem_agent_001_0090,agent_001,User prefers to avoid jargon (variant 3),preference,0.4,2026-09-18T22:08:31.695262
mem_agent_001_0091,agent_001,Audience attention spans are limited (variant 3),observation,0.37,2026-04-11T22:08:31.695262
mem_agent_001_0092,agent_001,Different formats work for different topics (variant 3),observation,0.47,2026-04-12T22:08:31.695262
mem_agent_001_0093,agent_001,Storytelling engages audiences emotionally (variant 3),fact,0.7,2026-06-05T22:08:31.695262
mem_agent_001_0094,agent_001,User prefers examples over abstract concepts (variant 3),preference,0.53,2026-05-12T22:08:31.695262
mem_agent_001_0095,agent_001,Default memory,conversation,0.83,2026-12-07T22:08:31.695262
mem_agent_001_0096,agent_001,Audience attention spans are limited (variant 3),observation,0.99,2026-03-29T22:08:31.695262
mem_agent_001_0097,agent_001,User prefers examples over abstract concepts (variant 3),preference,0.5,2026-10-12T22:08:31.695262
mem_agent_001_0098,agent_001,User prefers conversational tone,preference,0.44,2026-10-29T22:08:31.695262
mem_agent_001_0099,agent_001,User wants shorter paragraphs,preference,0.56,2026-02-21T22:08:31.695262
mem_agent_002_0000,agent_002,Default memory (variant 2),conversation,0.65,2026-09-28T22:08:31.695262
mem_agent_002_0001,agent_002,Adopted feature branch workflow,decision,0.66,2027-01-02T22:08:31.695262
mem_agent_002_0002,agent_002,Selected React for component reusability,decision,0.61,2026-11-07T22:08:31.695262
mem_agent_002_0003,agent_002,Default memory,conversation,0.84,2027-01-06T22:08:31.695262
mem_agent_002_0004,agent_002,Default memory,conversation,0.73,2026-04-30T22:08:31.695262
mem_agent_002_0005,agent_002,Default memory (variant 3),conversation,0.59,2026-04-15T22:08:31.695262
mem_agent_002_0006,agent_002,Default memory,conversation,0.68,2027-03-13T22:08:31.695262
mem_agent_002_0007,agent_002,User prefers modular architecture patterns,preference,0.36,2027-02-07T22:08:31.695262
mem_agent_002_0008,agent_002,Unit tests improve code reliability and maintainability (variant 2),fact,0.58,2027-02-19T22:08:31.695262
mem_agent_002_0009,agent_002,Unit tests improve code reliability and maintainability (variant 2),fact,0.96,2026-06-19T22:08:31.695262
mem_agent_002_0010,agent_002,Unit tests improve code reliability and maintainability,fact,0.65,2027-01-21T22:08:31.695262
mem_agent_002_0011,agent_002,Docker containerizes applications for deployment (variant 2),fact,0.59,2026-07-14T22:08:31.695262
mem_agent_002_0012,agent_002,Unit tests improve code reliability and maintainability (variant 2),fact,0.74,2026-11-05T22:08:31.695262
mem_agent_002_0013,agent_002,Added comprehensive test coverage (variant 2),decision,1.0,2026-05-07T22:08:31.695262
mem_agent_002_0014,agent_002,Explained async/await patterns for handling promises,interaction,0.69,2027-01-22T22:08:31.695262
mem_agent_002_0015,agent_002,React is a JavaScript library for building UIs (variant 3),fact,0.63,2026-09-05T22:08:31.695262
mem_agent_002_0016,agent_002,Docker containerizes applications for deployment (variant 2),fact,0.82,2026-07-13T22:08:31.695262
mem_agent_002_0017,agent_002,Git enables collaborative software development,fact,0.92,2026-05-11T22:08:31.695262
mem_agent_002_0018,agent_002,Adopted feature branch workflow (variant 2),decision,0.62,2026-06-01T22:08:31.695262
mem_agent_002_0019,agent_002,Default memory (variant 3),conversation,0.46,2026-11-24T22:08:31.695262
mem_agent_002_0020,agent_002,Default memory,conversation,0.85,2026-11-04T22:08:31.695262
mem_agent_002_0021,agent_002,Added comprehensive test coverage,decision,0.91,2027-03-15T22:08:31.695262
mem_agent_002_0022,agent_002,Added comprehensive test coverage (variant 2),decision,0.52,2026-12-06T22:08:31.695262
mem_agent_002_0023,agent_002,Default memory (variant 3),conversation,0.35,2027-02-09T22:08:31.695262
mem_agent_002_0024,agent_002,Implemented Docker for consistent environments (variant 2),decision,0.34,2026-04-26T22:08:31.695262
mem_agent_002_0025,agent_002,Default memory (variant 3),conversation,0.55,2026-11-05T22:08:31.695262
mem_agent_002_0026,agent_002,Chose TypeScript for type safety (variant 2),decision,0.35,2027-04-02T22:08:31.695262
mem_agent_002_0027,agent_002,Default memory,conversation,0.99,2026-09-16T22:08:31.695262
mem_agent_002_0028,agent_002,Default memory,conversation,0.37,2026-07-03T22:08:31.695262
mem_agent_002_0029,agent_002,Added comprehensive test coverage (variant 3),decision,0.43,2026-05-06T22:08:31.695262
mem_agent_002_0030,agent_002,Adopted feature branch workflow,decision,0.59,2027-02-15T22:08:31.695262
mem_agent_002_0031,agent_002,Unit tests improve code reliability and maintainability (variant 3),fact,0.75,2026-12-29T22:08:31.695262
mem_agent_002_0032,agent_002,Implemented Docker for consistent environments (variant 2),decision,0.82,2026-09-25T22:08:31.695262
mem_agent_002_0033,agent_002,Selected React for component reusability,decision,0.4,2026-11-30T22:08:31.695262
mem_agent_002_0034,agent_002,React is a JavaScript library for building UIs,fact,0.52,2026-07-06T22:08:31.695262
mem_agent_002_0035,agent_002,Git enables collaborative software development,fact,0.36,2026-07-07T22:08:31.695262
mem_agent_002_0036,agent_002,Default memory (variant 3),conversation,0.85,2026-10-29T22:08:31.695262
mem_agent_002_0037,agent_002,Git enables collaborative software development (variant 2),fact,0.33,2026-09-02T22:08:31.695262
mem_agent_002_0038,agent_002,Default memory,conversation,0.5,2026-06-30T22:08:31.695262
mem_agent_002_0039,agent_002,Selected React for component reusability (variant 3),decision,0.36,2026-07-24T22:08:31.695262
mem_agent_002_0040,agent_002,TypeScript provides static typing for JavaScript (variant 3),fact,0.84,2027-01-08T22:08:31.695262
mem_agent_002_0041,agent_002,Adopted feature branch workflow (variant 2),decision,0.47,2027-03-04T22:08:31.695262
mem_agent_002_0042,agent_002,Implemented Docker for consistent environments (variant 2),decision,0.6,2027-01-19T22:08:31.695262
mem_agent_002_0043,agent_002,React is a JavaScript library for building UIs (variant 2),fact,0.48,2026-05-30T22:08:31.695262
mem_agent_002_0044,agent_002,Implemented Docker for consistent environments,decision,0.85,2026-09-28T22:08:31.695262
mem_agent_002_0045,agent_002,Default memory (variant 3),conversation,0.98,2026-10-15T22:08:31.695262
mem_agent_002_0046,agent_002,React is a JavaScript library for building UIs (variant 2),fact,0.72,2027-02-13T22:08:31.695262
mem_agent_002_0047,agent_002,Selected React for component reusability,decision,0.59,2026-07-21T22:08:31.695262
mem_agent_002_0048,agent_002,Explained async/await patterns for handling promises (variant 2),interaction,0.94,2026-04-27T22:08:31.695262
mem_agent_002_0049,agent_002,Default memory (variant 2),conversation,1.0,2026-12-25T22:08:31.695262
mem_agent_002_0050,agent_002,Default memory (variant 3),conversation,0.41,2026-05-19T22:08:31.695262
mem_agent_002_0051,agent_002,Chose TypeScript for type safety,decision,0.52,2026-09-09T22:08:31.695262
mem_agent_002_0052,agent_002,Selected React for component reusability (variant 2),decision,0.49,2026-06-29T22:08:31.695262
mem_agent_002_0053,agent_002,Selected React for component reusability (variant 3),decision,0.46,2026-12-03T22:08:31.695262
mem_agent_002_0054,agent_002,Docker containerizes applications for deployment (variant 2),fact,0.77,2026-08-12T22:08:31.695262
mem_agent_002_0055,agent_002,Adopted feature branch workflow (variant 2),decision,0.61,2026-09-25T22:08:31.695262
